loyalty_card_num,lifestage,premium_customer
1345,older singles / couples,mainstream
1346,young singles / couples,mainstream
1347,retirees,mainstream
1348,midage singles / couples,budget
1349,older singles / couples,budget
1350,older families,budget
1351,young singles / couples,budget
1352,older singles / couples,mainstream
1353,young singles / couples,mainstream
1354,older singles / couples,budget
1355,midage singles / couples,premium
1356,older families,premium
1357,older singles / couples,budget
1358,older families,mainstream
1359,young singles / couples,mainstream
1360,young singles / couples,mainstream
1361,retirees,budget
1362,older families,mainstream
1363,young families,budget
1364,retirees,premium
1365,retirees,mainstream
1366,midage singles / couples,premium
1367,older families,budget
1369,new families,premium
1370,new families,budget
1373,older families,budget
1374,midage singles / couples,premium
1375,older singles / couples,premium
1376,retirees,mainstream
1377,older singles / couples,premium
1378,older singles / couples,premium
1380,young singles / couples,premium
1383,young singles / couples,mainstream
1384,young singles / couples,budget
1385,young singles / couples,budget
1386,older singles / couples,mainstream
1390,young families,premium
1392,young families,budget
1394,young singles / couples,mainstream
1395,midage singles / couples,budget
1396,midage singles / couples,premium
1397,young singles / couples,mainstream
1399,midage singles / couples,premium
1400,retirees,premium
1401,new families,premium
1402,young singles / couples,mainstream
1403,young families,budget
1404,older singles / couples,mainstream
1406,older singles / couples,premium
1407,midage singles / couples,mainstream
1408,retirees,mainstream
1409,young singles / couples,mainstream
1410,retirees,budget
1411,midage singles / couples,budget
1412,older families,mainstream
1413,older families,budget
1414,retirees,mainstream
1415,young singles / couples,mainstream
1417,young singles / couples,mainstream
1418,midage singles / couples,premium
1419,young families,budget
1420,older families,mainstream
1421,young singles / couples,premium
1422,midage singles / couples,mainstream
1423,young singles / couples,mainstream
1424,retirees,budget
1425,young singles / couples,mainstream
1429,young singles / couples,budget
1430,young families,premium
1431,retirees,budget
1433,new families,budget
1434,young singles / couples,mainstream
1436,young families,premium
1437,new families,premium
1438,new families,mainstream
1439,young families,premium
1440,retirees,mainstream
1443,young families,budget
1444,young singles / couples,mainstream
1446,older families,premium
1448,older families,budget
1450,young singles / couples,mainstream
1451,midage singles / couples,mainstream
1452,older families,budget
1453,young singles / couples,premium
1454,older singles / couples,mainstream
1455,young singles / couples,mainstream
1456,older families,budget
1457,young singles / couples,budget
1459,older families,budget
1460,young singles / couples,premium
1461,retirees,mainstream
1462,young singles / couples,premium
1463,retirees,mainstream
1464,older families,budget
1465,young singles / couples,mainstream
1467,older singles / couples,mainstream
1468,young singles / couples,budget
1470,older families,mainstream
1471,young families,mainstream
1473,retirees,mainstream
1474,older families,budget
1475,midage singles / couples,budget
1477,older families,premium
1478,young singles / couples,budget
1480,older singles / couples,premium
1482,young singles / couples,mainstream
1484,young singles / couples,budget
1485,midage singles / couples,premium
1486,older families,budget
1487,young singles / couples,budget
1488,older singles / couples,budget
1489,retirees,budget
1490,young singles / couples,mainstream
1491,midage singles / couples,budget
1494,young singles / couples,budget
1495,midage singles / couples,budget
1501,retirees,mainstream
1502,young families,mainstream
1504,older families,budget
2000,new families,mainstream
2001,young singles / couples,budget
2002,retirees,mainstream
2003,new families,premium
2004,young families,budget
2006,older families,mainstream
2008,young singles / couples,budget
2010,new families,premium
2012,midage singles / couples,mainstream
2013,retirees,mainstream
2015,young families,premium
2017,older families,budget
2018,older singles / couples,mainstream
2019,young singles / couples,budget
2020,retirees,premium
2022,midage singles / couples,premium
2023,retirees,mainstream
2024,young singles / couples,budget
2025,retirees,premium
2026,young singles / couples,mainstream
2027,retirees,budget
2030,retirees,premium
2032,young singles / couples,mainstream
2033,young singles / couples,premium
2034,young singles / couples,budget
2035,midage singles / couples,mainstream
2036,new families,premium
2038,young singles / couples,mainstream
2040,retirees,mainstream
2041,older singles / couples,premium
2042,young singles / couples,premium
2043,older families,budget
2044,retirees,premium
2045,young singles / couples,budget
2047,young singles / couples,budget
2048,new families,mainstream
2049,young singles / couples,premium
2050,young families,mainstream
2051,older singles / couples,mainstream
2052,young singles / couples,mainstream
2053,new families,mainstream
2055,young families,budget
2056,retirees,budget
2058,midage singles / couples,mainstream
2059,young families,budget
2060,young singles / couples,mainstream
2069,young singles / couples,budget
2071,young singles / couples,budget
2074,retirees,mainstream
2080,young singles / couples,budget
2081,retirees,mainstream
2082,older families,mainstream
2083,retirees,mainstream
2084,young singles / couples,mainstream
2086,retirees,budget
2088,young singles / couples,budget
2089,older singles / couples,budget
2090,older singles / couples,budget
2091,young singles / couples,premium
2093,older singles / couples,mainstream
2095,older singles / couples,premium
2096,retirees,budget
2097,older singles / couples,mainstream
2098,retirees,mainstream
2100,young singles / couples,mainstream
2101,older singles / couples,mainstream
2102,young singles / couples,budget
2103,older families,mainstream
2104,young singles / couples,premium
2105,young singles / couples,mainstream
2106,young singles / couples,premium
2107,young families,mainstream
2112,retirees,mainstream
2113,young families,budget
2114,young families,budget
2116,young singles / couples,budget
2117,older families,mainstream
2119,young singles / couples,budget
2120,older singles / couples,premium
2121,young singles / couples,mainstream
2122,young singles / couples,premium
2123,older singles / couples,budget
2125,retirees,mainstream
2129,young singles / couples,mainstream
2130,older families,budget
2131,young singles / couples,mainstream
2133,older families,budget
2135,retirees,mainstream
2136,older singles / couples,premium
2139,midage singles / couples,premium
2141,young singles / couples,budget
2143,older singles / couples,mainstream
2144,older singles / couples,budget
2146,older families,premium
2147,older singles / couples,premium
2148,retirees,budget
2149,retirees,budget
2150,retirees,budget
2153,young singles / couples,budget
2154,older singles / couples,mainstream
2155,young singles / couples,budget
2161,young singles / couples,mainstream
2163,older families,premium
2164,young singles / couples,mainstream
2166,older singles / couples,premium
2167,older singles / couples,mainstream
2168,older singles / couples,mainstream
2169,young singles / couples,premium
2170,young singles / couples,mainstream
2172,older families,premium
2173,older families,budget
2175,older singles / couples,mainstream
2176,young singles / couples,mainstream
2178,older singles / couples,mainstream
2180,young families,budget
2181,young singles / couples,mainstream
2182,older singles / couples,premium
2183,older families,mainstream
2184,young singles / couples,mainstream
2185,young families,budget
2186,older families,mainstream
2188,young singles / couples,mainstream
2190,young singles / couples,mainstream
2191,older families,budget
2194,midage singles / couples,premium
2196,young families,budget
2198,midage singles / couples,mainstream
2199,older singles / couples,mainstream
2200,retirees,budget
2202,young singles / couples,budget
2203,midage singles / couples,budget
2205,retirees,mainstream
2210,young singles / couples,mainstream
2211,older singles / couples,budget
2214,older singles / couples,mainstream
2216,older singles / couples,premium
2217,retirees,mainstream
2218,young singles / couples,budget
2219,older singles / couples,budget
2220,older families,budget
2222,midage singles / couples,mainstream
2223,new families,premium
2224,young singles / couples,mainstream
2225,midage singles / couples,mainstream
2226,older families,budget
2227,retirees,mainstream
2230,retirees,premium
2231,midage singles / couples,premium
2232,midage singles / couples,mainstream
2233,older singles / couples,budget
2234,new families,mainstream
2236,older singles / couples,budget
2237,young singles / couples,mainstream
2238,retirees,mainstream
2240,older singles / couples,budget
2242,older singles / couples,budget
2244,young singles / couples,budget
2245,older families,budget
2246,midage singles / couples,premium
2247,young singles / couples,premium
2248,retirees,mainstream
2250,young singles / couples,mainstream
2253,retirees,budget
2254,young singles / couples,mainstream
2255,older singles / couples,budget
2256,midage singles / couples,budget
2257,older singles / couples,premium
2258,older families,budget
2259,young families,premium
2260,young families,mainstream
2262,young singles / couples,premium
2265,retirees,budget
2270,young singles / couples,budget
2272,young singles / couples,budget
2273,young singles / couples,mainstream
2274,young families,mainstream
2277,young singles / couples,mainstream
2278,retirees,premium
2279,older singles / couples,premium
2280,older singles / couples,premium
2281,retirees,mainstream
2283,retirees,budget
2285,young singles / couples,mainstream
2286,young singles / couples,premium
2287,retirees,mainstream
2288,young singles / couples,mainstream
2292,young families,budget
2294,midage singles / couples,mainstream
2295,young singles / couples,premium
2298,retirees,mainstream
2302,retirees,mainstream
2303,retirees,mainstream
2304,older singles / couples,budget
2305,retirees,premium
2309,older singles / couples,budget
2310,older families,budget
2311,new families,mainstream
2313,midage singles / couples,premium
2315,young singles / couples,mainstream
2319,midage singles / couples,premium
2320,young singles / couples,premium
2323,young families,budget
2324,young singles / couples,premium
2326,retirees,budget
2327,young singles / couples,mainstream
2328,young families,budget
2330,young singles / couples,premium
2331,young singles / couples,budget
2332,young singles / couples,mainstream
2335,retirees,budget
2339,older singles / couples,premium
2340,older singles / couples,mainstream
2342,older singles / couples,mainstream
2344,older singles / couples,premium
2345,older families,premium
2346,older families,premium
2347,young singles / couples,budget
2348,older singles / couples,budget
2349,young singles / couples,mainstream
2353,retirees,mainstream
2354,retirees,budget
2356,retirees,premium
2358,young families,mainstream
2361,older families,mainstream
2362,older singles / couples,premium
2363,young families,budget
2364,older families,mainstream
2365,retirees,mainstream
2367,older singles / couples,mainstream
2368,midage singles / couples,mainstream
2369,young singles / couples,mainstream
2370,young families,budget
2371,older singles / couples,budget
2372,new families,budget
2373,midage singles / couples,budget
2375,retirees,mainstream
2376,older singles / couples,budget
2377,young singles / couples,budget
2378,older singles / couples,premium
2380,older families,mainstream
2381,older singles / couples,budget
2382,midage singles / couples,premium
2383,young families,budget
2384,midage singles / couples,mainstream
2385,young families,premium
2386,midage singles / couples,budget
2387,new families,mainstream
2389,midage singles / couples,budget
2394,retirees,mainstream
2395,young families,premium
2396,retirees,budget
2398,retirees,mainstream
2399,young families,budget
2400,young singles / couples,mainstream
2401,older singles / couples,mainstream
2402,young families,budget
2404,older singles / couples,premium
2409,older singles / couples,mainstream
2410,older singles / couples,budget
2411,retirees,mainstream
2412,new families,budget
2413,retirees,budget
2414,older singles / couples,mainstream
2415,young families,budget
2417,older singles / couples,mainstream
2418,young singles / couples,premium
2419,young singles / couples,premium
2421,midage singles / couples,mainstream
2425,young singles / couples,mainstream
2426,midage singles / couples,budget
2427,older singles / couples,mainstream
2428,young families,budget
2429,older families,mainstream
2430,young singles / couples,budget
2431,retirees,premium
2433,older singles / couples,budget
2434,retirees,mainstream
2437,retirees,mainstream
2438,midage singles / couples,budget
2439,retirees,premium
2441,midage singles / couples,mainstream
2444,midage singles / couples,budget
2447,young singles / couples,mainstream
2448,young families,premium
2450,older singles / couples,budget
2451,new families,budget
2452,older singles / couples,budget
2454,midage singles / couples,budget
2456,young singles / couples,budget
2457,young singles / couples,mainstream
2458,young singles / couples,premium
2460,older singles / couples,premium
2466,young singles / couples,budget
2467,older singles / couples,premium
2468,older singles / couples,budget
2469,older families,mainstream
2470,young families,budget
2471,young families,premium
2472,young families,premium
2477,young singles / couples,premium
2478,older singles / couples,premium
2479,young families,budget
2480,retirees,premium
2481,midage singles / couples,budget
2482,retirees,budget
2483,older singles / couples,premium
2484,retirees,mainstream
2486,older families,premium
2489,young families,mainstream
2491,midage singles / couples,premium
2492,older singles / couples,mainstream
2493,young singles / couples,premium
2494,young singles / couples,mainstream
3000,older singles / couples,budget
3001,young families,budget
3002,older singles / couples,premium
3003,retirees,budget
3004,retirees,premium
3005,retirees,mainstream
3006,young singles / couples,mainstream
3007,midage singles / couples,mainstream
3008,retirees,budget
3009,older singles / couples,mainstream
3010,retirees,mainstream
3011,retirees,premium
3012,older families,budget
3013,older families,premium
3014,young singles / couples,mainstream
3015,young families,budget
3016,young families,budget
3017,retirees,mainstream
3018,older singles / couples,budget
3019,older singles / couples,mainstream
3020,midage singles / couples,premium
3022,young families,budget
3023,midage singles / couples,premium
3024,older singles / couples,premium
3025,young families,premium
3026,young singles / couples,mainstream
3027,older singles / couples,premium
3028,young families,mainstream
3029,midage singles / couples,premium
3030,older singles / couples,premium
3031,young singles / couples,mainstream
3032,young singles / couples,mainstream
3033,retirees,budget
3034,retirees,mainstream
3035,older singles / couples,budget
3036,new families,mainstream
3037,older singles / couples,budget
3038,retirees,budget
3039,young singles / couples,budget
3040,retirees,budget
3041,young singles / couples,budget
3042,midage singles / couples,premium
3043,retirees,premium
3044,retirees,premium
3045,retirees,mainstream
3046,older singles / couples,premium
3047,older families,mainstream
3048,older singles / couples,premium
3049,older families,mainstream
3050,young families,premium
3051,older singles / couples,budget
3052,midage singles / couples,mainstream
3053,older singles / couples,mainstream
3054,young families,budget
3055,older families,mainstream
3056,older families,budget
3057,older singles / couples,mainstream
3058,older singles / couples,mainstream
3059,retirees,mainstream
3060,retirees,mainstream
3061,young families,mainstream
3062,older singles / couples,budget
3063,retirees,premium
3064,retirees,mainstream
3065,retirees,mainstream
3066,young singles / couples,mainstream
3067,retirees,premium
3068,older families,mainstream
3069,older singles / couples,mainstream
3070,older families,budget
3071,young singles / couples,budget
3072,retirees,budget
3073,young singles / couples,mainstream
3074,retirees,mainstream
3075,young singles / couples,mainstream
3076,retirees,mainstream
3077,retirees,premium
3078,older families,premium
3079,older singles / couples,budget
3080,retirees,budget
3081,retirees,budget
3082,young singles / couples,premium
3083,young singles / couples,mainstream
3084,older families,premium
3085,retirees,premium
3086,older singles / couples,budget
3087,retirees,budget
3088,older families,budget
3089,older singles / couples,mainstream
3090,young families,budget
3091,older singles / couples,mainstream
3092,retirees,mainstream
3093,young singles / couples,mainstream
3094,midage singles / couples,mainstream
3095,older singles / couples,premium
3096,retirees,mainstream
3097,retirees,budget
3098,young singles / couples,budget
3099,retirees,mainstream
3100,older families,mainstream
3101,young singles / couples,premium
3102,young families,premium
3103,retirees,premium
3104,young singles / couples,budget
3105,older singles / couples,mainstream
3106,young singles / couples,budget
3107,older singles / couples,premium
3108,young singles / couples,budget
3109,young singles / couples,budget
3110,young singles / couples,mainstream
3111,retirees,premium
3112,new families,premium
3113,young singles / couples,mainstream
3114,midage singles / couples,mainstream
3115,midage singles / couples,mainstream
3116,young singles / couples,mainstream
3117,midage singles / couples,premium
3118,young singles / couples,mainstream
3119,retirees,premium
3120,young singles / couples,mainstream
3121,older families,budget
3122,older families,budget
3123,older singles / couples,budget
3124,retirees,budget
3125,older singles / couples,budget
3126,retirees,premium
3127,older families,mainstream
3128,older singles / couples,premium
3129,older families,budget
3130,young families,mainstream
3131,young singles / couples,mainstream
3132,older singles / couples,premium
3133,new families,premium
3134,midage singles / couples,mainstream
3135,young families,premium
3136,new families,premium
3137,midage singles / couples,mainstream
3138,retirees,premium
3139,older singles / couples,premium
3140,older singles / couples,mainstream
3141,young families,budget
3142,young singles / couples,premium
3143,older singles / couples,premium
3144,retirees,premium
3145,young singles / couples,budget
3146,young singles / couples,mainstream
3147,older families,budget
3148,retirees,mainstream
3149,retirees,mainstream
3150,young families,mainstream
3151,retirees,mainstream
3152,retirees,mainstream
3153,midage singles / couples,premium
3154,retirees,mainstream
3155,young singles / couples,budget
3156,retirees,mainstream
3157,older singles / couples,mainstream
3158,older singles / couples,mainstream
3159,midage singles / couples,mainstream
3160,older singles / couples,premium
3161,retirees,premium
3162,older singles / couples,budget
3163,young families,mainstream
3164,midage singles / couples,budget
3165,older singles / couples,premium
3166,older singles / couples,premium
3167,midage singles / couples,budget
3168,young singles / couples,mainstream
3169,new families,mainstream
3170,young singles / couples,mainstream
3171,older singles / couples,budget
3172,retirees,budget
3173,older singles / couples,mainstream
3174,older singles / couples,mainstream
3175,young families,budget
3176,older families,mainstream
3177,new families,premium
3178,older singles / couples,budget
3179,young families,mainstream
3180,retirees,budget
3181,older singles / couples,premium
3182,young singles / couples,mainstream
3183,older singles / couples,mainstream
3184,new families,budget
3185,older singles / couples,premium
3186,retirees,budget
3187,retirees,budget
3188,new families,budget
3189,retirees,budget
3190,older singles / couples,mainstream
3191,retirees,budget
3192,young families,mainstream
3193,young families,premium
3194,older families,budget
3195,retirees,mainstream
3196,midage singles / couples,premium
3197,retirees,mainstream
3198,older singles / couples,premium
3199,older singles / couples,budget
3201,older singles / couples,budget
3202,older singles / couples,mainstream
3203,young families,budget
3204,retirees,premium
3205,older families,budget
3206,older families,budget
3207,young singles / couples,mainstream
3208,young families,premium
3209,young families,mainstream
3210,retirees,premium
3211,retirees,budget
3212,retirees,mainstream
3213,older singles / couples,premium
3214,older families,budget
3215,retirees,premium
3216,older singles / couples,mainstream
3217,retirees,budget
3218,young families,budget
3219,retirees,budget
3220,older singles / couples,premium
3221,young singles / couples,budget
3222,retirees,budget
3223,young families,premium
3224,retirees,mainstream
3225,young families,premium
3226,older families,budget
3227,young families,budget
3228,older families,mainstream
3229,retirees,mainstream
3230,older singles / couples,mainstream
3231,young singles / couples,mainstream
3232,retirees,budget
3233,older singles / couples,budget
3234,retirees,mainstream
3235,older singles / couples,budget
3236,young families,mainstream
3237,young singles / couples,budget
3238,young singles / couples,mainstream
3239,older families,mainstream
3240,older families,premium
3241,young families,premium
3242,young singles / couples,premium
3243,older singles / couples,mainstream
3244,young families,premium
3245,midage singles / couples,premium
3246,older singles / couples,budget
3247,midage singles / couples,mainstream
3248,older singles / couples,premium
3249,older singles / couples,premium
3250,young singles / couples,mainstream
3251,young singles / couples,mainstream
3252,young singles / couples,mainstream
3253,young singles / couples,premium
3254,young families,budget
3255,young singles / couples,mainstream
3256,older singles / couples,premium
3257,retirees,budget
3258,new families,mainstream
3259,retirees,premium
3260,retirees,premium
3261,older singles / couples,mainstream
3262,older families,budget
3263,young singles / couples,mainstream
3264,young families,budget
3265,young families,mainstream
3266,young singles / couples,premium
3267,young singles / couples,mainstream
3268,older families,budget
3269,older singles / couples,mainstream
3270,young families,budget
3271,retirees,budget
3272,young families,premium
3273,midage singles / couples,mainstream
3274,young singles / couples,budget
3275,older singles / couples,budget
3276,older singles / couples,budget
3277,retirees,budget
3278,young singles / couples,mainstream
3279,midage singles / couples,mainstream
3280,older singles / couples,premium
3282,new families,budget
3283,older singles / couples,premium
3284,young families,budget
3285,older singles / couples,budget
3286,retirees,premium
3287,midage singles / couples,premium
3288,midage singles / couples,premium
3289,older families,mainstream
3290,retirees,premium
3291,older families,mainstream
3292,midage singles / couples,premium
3293,older singles / couples,mainstream
3294,midage singles / couples,mainstream
3295,retirees,mainstream
3296,older singles / couples,budget
3297,older singles / couples,premium
3298,older families,budget
3299,midage singles / couples,mainstream
3300,retirees,mainstream
3301,older families,budget
3302,older families,mainstream
3303,midage singles / couples,premium
3304,midage singles / couples,mainstream
3305,young singles / couples,mainstream
3306,older families,premium
3307,older families,mainstream
3308,older singles / couples,mainstream
3309,young families,premium
3310,young singles / couples,mainstream
3311,young singles / couples,budget
3312,older singles / couples,mainstream
3313,older families,budget
3314,older families,budget
3315,older families,premium
3316,young singles / couples,mainstream
3317,older singles / couples,premium
3318,retirees,mainstream
3319,retirees,budget
3320,midage singles / couples,mainstream
3322,retirees,mainstream
3323,retirees,mainstream
3324,young singles / couples,budget
3325,older singles / couples,mainstream
3326,midage singles / couples,budget
3327,older singles / couples,premium
3328,young families,premium
3329,young singles / couples,mainstream
3330,young singles / couples,premium
3331,young singles / couples,mainstream
3332,retirees,premium
3333,older families,mainstream
3334,older singles / couples,mainstream
3335,new families,budget
3336,young singles / couples,mainstream
3337,young singles / couples,mainstream
3338,young singles / couples,mainstream
3339,young singles / couples,mainstream
3340,older singles / couples,budget
3341,young singles / couples,mainstream
3342,older families,budget
3343,midage singles / couples,mainstream
3344,young families,mainstream
3345,older singles / couples,budget
3346,young families,mainstream
3347,older families,mainstream
3348,older families,budget
3349,midage singles / couples,budget
3350,young families,budget
3351,retirees,mainstream
3352,older singles / couples,budget
3353,young families,budget
3354,young singles / couples,mainstream
3355,older families,budget
3356,retirees,budget
3357,older families,budget
3358,older singles / couples,budget
3359,young singles / couples,mainstream
3360,older singles / couples,budget
3361,new families,budget
3362,older singles / couples,mainstream
3363,retirees,mainstream
3364,young families,mainstream
3365,older singles / couples,budget
3366,retirees,premium
3367,older singles / couples,budget
4000,young singles / couples,mainstream
4001,young singles / couples,mainstream
4002,young singles / couples,mainstream
4003,older families,mainstream
4004,retirees,budget
4005,older families,budget
4006,retirees,mainstream
4007,young families,premium
4008,young families,mainstream
4009,young singles / couples,mainstream
4010,midage singles / couples,mainstream
4011,new families,mainstream
4012,young singles / couples,mainstream
4013,retirees,premium
4014,older singles / couples,mainstream
4015,older families,mainstream
4016,midage singles / couples,budget
4017,midage singles / couples,premium
4018,young families,budget
4019,retirees,budget
4020,young singles / couples,mainstream
4021,older singles / couples,premium
4022,older singles / couples,premium
4023,young singles / couples,mainstream
4024,new families,budget
4025,young families,budget
4026,older singles / couples,mainstream
4027,new families,mainstream
4028,retirees,mainstream
4029,retirees,mainstream
4030,older families,budget
4031,young singles / couples,mainstream
4032,young families,mainstream
4033,retirees,budget
4034,midage singles / couples,mainstream
4035,retirees,budget
4036,retirees,budget
4037,retirees,mainstream
4038,older singles / couples,premium
4039,retirees,mainstream
4040,young singles / couples,mainstream
4041,retirees,budget
4042,older singles / couples,mainstream
4043,older singles / couples,premium
4044,new families,mainstream
4045,young singles / couples,mainstream
4046,older families,mainstream
4047,older singles / couples,premium
4048,older families,budget
4049,midage singles / couples,premium
4050,older singles / couples,premium
4051,retirees,budget
4052,retirees,premium
4053,older families,premium
4054,midage singles / couples,mainstream
4055,older singles / couples,premium
4056,new families,premium
4057,older singles / couples,mainstream
4058,young singles / couples,mainstream
4059,midage singles / couples,premium
4060,young families,budget
4061,older singles / couples,mainstream
4062,older singles / couples,budget
4063,midage singles / couples,mainstream
4064,young families,budget
4065,retirees,premium
4066,older families,mainstream
4067,retirees,premium
4068,midage singles / couples,mainstream
4069,retirees,mainstream
4070,retirees,mainstream
4071,young families,mainstream
4072,midage singles / couples,budget
4073,retirees,premium
4074,midage singles / couples,budget
4075,young families,mainstream
4076,retirees,mainstream
4077,retirees,mainstream
4078,retirees,premium
4079,older singles / couples,budget
4080,retirees,budget
4081,young singles / couples,mainstream
4082,young singles / couples,mainstream
4083,young singles / couples,mainstream
4084,new families,mainstream
4085,older singles / couples,budget
4086,older families,budget
4087,older families,mainstream
4088,older singles / couples,premium
4089,older singles / couples,premium
4090,young families,budget
4091,young families,budget
4092,older singles / couples,premium
4093,older singles / couples,budget
4094,older singles / couples,budget
4095,retirees,budget
4096,older families,budget
4097,young singles / couples,mainstream
4098,retirees,budget
4099,older singles / couples,premium
4100,older singles / couples,premium
4101,older singles / couples,budget
4102,retirees,mainstream
4103,young families,budget
4104,retirees,premium
4105,young singles / couples,mainstream
4106,midage singles / couples,budget
4107,retirees,mainstream
4108,new families,mainstream
4109,young singles / couples,budget
4110,young singles / couples,mainstream
4111,midage singles / couples,mainstream
4112,older singles / couples,premium
4113,older singles / couples,premium
4114,new families,premium
4115,retirees,mainstream
4116,young singles / couples,premium
4117,retirees,mainstream
